ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,908283
2,9.5,霸王别姬,654741
3,9.4,这个杀手不太冷,863719
4,9.4,阿甘正传,734978
5,9.5,美丽人生,429127
6,9.2,千与千寻,685548
7,9.4,辛德勒的名单,394651
8,9.2,泰坦尼克号,675888
9,9.2,盗梦空间,785198
10,9.3,机器人总动员,512235
11,9.2,海上钢琴师,614124
12,9.1,三傻大闹宝莱坞,694775
13,9.2,忠犬八公的故事,471853
14,9.2,放牛班的春天,466874
15,9.2,大话西游之大圣娶亲,504762
16,9.2,教父,353925
17,9.1,龙猫,430812
18,9.1,楚门的世界,472294
19,9.2,乱世佳人,277966
20,9.1,天堂电影院,317004
21,9.1,触不可及,376644
22,8.9,当幸福来敲门,554167
23,9.2,熔炉,263994
24,9.0,无间道,412617
25,9.0,搏击俱乐部,412335
